location,numberOfEstablishments,numberOfEmployees,annualPayroll,averageWorkerAnnual
Alabama,6865,78615,3311709,58981
Alaska,2156,23219,1539155,15768
Arizona,10540,123478,5559837,86359
Arkansas,4739,42539,1666227,31993
California,60222,597083,30401620,436073
Colorado,13976,123296,5867523,88310
Connecticut,7173,54595,2949324,38456
Delaware,1997,17708,867610,12262
District of Columbia,390,8986,475903,6513
Florida,39536,294308,11621404,206202
Georgia,13790,144936,6376073,102726
Hawaii,2378,27541,1564321,19425
Idaho,5165,32033,1116429,24224
Illinois,25046,204819,11446495,146724
Indiana,12195,123888,6177713,92735
Iowa,7703,65860,2938952,50987
Kansas,6070,58461,2680560,44016
Kentucky,6675,63974,2759583,47660
Louisiana,7318,136439,7316613,98422
Maine,4547,25178,1010842,19068
Maryland,12987,144715,7421303,100930
Massachusetts,15689,120685,6856813,84362
Michigan,16123,131609,6370248,95290
Minnesota,14615,113633,6061043,84384
Mississippi,3736,41520,1703276,31654
Missouri,12435,110274,5306079,81651
Montana,4307,23981,970123,18651
Nebraska,5676,40562,1682757,30882
Nevada,4335,54321,2462542,40583
New Hampshire,3710,24409,1210200,17737
New Jersey,18806,146521,8053260,101113
New Mexico,4084,37806,1520079,28414
New York,41016,333187,18169254,237594
North Carolina,18294,180433,6682933,135146
North Dakota,2729,25882,1239784,20628
Ohio,18439,180735,8582077,131214
Oklahoma,7541,69691,3003706,53673
Oregon,10051,69771,3295649,51541
Pennsylvania,24874,237969,11763155,173505
Rhode Island,2868,17418,850496,12585
South Carolina,8136,68679,2668870,49454
South Dakota,2916,19737,756835,15420
Tennessee,8627,103474,4505485,76961
Texas,34641,572922,27831157,423544
Utah,7294,64534,2716100,50284
Vermont,2596,15667,648123,12081
Virginia,17108,177074,8066771,127890
Washington,17741,138649,7086151,101818
West Virginia,3017,26670,1116057,21230
Wisconsin,12207,102542,5063256,75300
Wyoming,2610,20067,877449,16410
